tag,step,value
Environment/Cumulative Reward,10000,-1.365099310874939
Environment/Cumulative Reward,20000,-0.9820227026939392
Environment/Cumulative Reward,30000,-0.803593635559082
Environment/Cumulative Reward,40000,-0.5766645669937134
Environment/Episode Length,10000,5.175695419311523
Environment/Episode Length,20000,4.678794860839844
Environment/Episode Length,30000,4.4043869972229
Environment/Episode Length,40000,4.103061199188232
Losses/Policy Loss,10000,0.5915502905845642
Losses/Policy Loss,20000,0.4920697808265686
Losses/Policy Loss,30000,-0.21965613961219788
Losses/Policy Loss,40000,-0.27552109956741333
Losses/Value Loss,10000,0.004998339805752039
Losses/Value Loss,20000,0.004740158561617136
Losses/Value Loss,30000,0.0066027529537677765
Losses/Value Loss,40000,0.007168369367718697
Losses/Q1 Loss,10000,0.010452372021973133
Losses/Q1 Loss,20000,0.014454342424869537
Losses/Q1 Loss,30000,0.012210085056722164
Losses/Q1 Loss,40000,0.012895921245217323
Losses/Q2 Loss,10000,0.010524245910346508
Losses/Q2 Loss,20000,0.014438304118812084
Losses/Q2 Loss,30000,0.012118374928832054
Losses/Q2 Loss,40000,0.01275281235575676
Policy/Entropy,10000,2.1898837089538574
Policy/Entropy,20000,1.571276307106018
Policy/Entropy,30000,1.576844334602356
Policy/Entropy,40000,1.5627803802490234
Policy/Discrete Entropy Coeff,10000,0.08835974335670471
Policy/Discrete Entropy Coeff,20000,0.08849210292100906
Policy/Discrete Entropy Coeff,30000,0.1403624564409256
Policy/Discrete Entropy Coeff,40000,0.1409366875886917
